st a	Latitude	Longitude	Name
435	41.833600	123.542000	Artillery College, Shenyang
436	41.797200	123.400000	Taiyuan Street, Shenyang
437	41.771718	123.435715	wenhua street, Shenyang, Shenyang
438	41.765000	123.410000	Wenyi Road, Shenyang
439	41.777500	123.478000	Xiaoheyan, Shenyang
440	41.769400	123.284000	Zhangshi, Shenyang
441	39.000214	106.372538	Dawukou huanghe East Street, Shizuishan
442	39.239302	106.781176	Hongguozi Town Huixin Street, Shizuishan
443	39.220000	107.333333	Huinong South Street, Shizuishan
444	39.348104	112.446613	Pingshuo, Shuozhou
445	39.319691	112.423782	District Government, Shuozhou
446	39.376772	112.426014	No.2 middle school, Shuozhou
447	39.330314	112.401123	City EPA, Shuozhou
448	37.887300	112.522000	Jiancaoping, Taiyuan
449	37.910300	112.573000	Jianhe, Taiyuan
450	37.780500	112.488000	Jinsheng, Taiyuan
451	37.712400	112.469000	Jinyuan, Taiyuan
452	37.985400	112.549000	Nanzhai, Taiyuan
453	38.010800	112.434000	Shanglan, Taiyuan
454	37.869200	112.537000	Taoyuan, Taiyuan
455	37.819500	112.570000	Wucheng, Taiyuan
456	37.781400	112.477000	Xiaodian, Taiyuan
457	42.308996	123.839747	Huigong Street West, Tieling, Tieling
458	42.222668	123.726801	jinsha jiang lu bei, Tieling, Tieling
459	42.294964	123.874963	Waterpark, Tieling
460	35.066667	109.066667	Wangyi District Government, Tongchuan
461	34.908916	108.980514	Xinqu lanzhi gongsi, Tongchuan
462	34.505001	109.430783	Gaoxin yi xiao, Weinan
463	34.510000	109.529167	Agriculture Science Institute, Weinan
464	34.500278	109.500278	Daily newspaper office, Weinan
465	31.350833	118.352778	Monitoring station, Wuhu
466	31.418889	118.370000	Science Innovation Center, Wuhu
467	31.317778	118.370833	No.4 Water Plant, Wuhu
468	31.383889	118.402222	Wuqierling Factory, Wuhu
469	18.778000	109.521600	Institute of Forestry, Wuzhishan
470	18.779120	109.516400	Qiongnan TV station, Wuzhishan
471	24.445833	118.063611	Gulangyu, Xiamen
472	24.476667	118.151389	Hongwen, Xiamen
473	24.515000	118.094167	Huli, Xiamen
474	24.818056	118.156944	Xidong, Xiamen
475	34.378000	108.869000	Caotan, Xian
476	34.154600	108.906000	Chang'an District, Xian
477	34.257200	109.060000	Fangzhicheng, Xian
478	34.230300	108.883000	Gaoxin West Area, Xian
479	34.274900	108.882000	High Voltage Switchgear Factory, Xian
480	34.327400	109.043000	Guangyuntan, Xian
481	34.347400	108.935000	Economic Development Zone, Xian
482	34.373100	109.218600	Lintong District, Xian
483	34.197800	108.985000	Qujiang Cultural Industry Group, Xian
484	34.271300	108.954000	City People Stadium, Xian
485	34.232400	108.940000	Xiaozhai, Xian
486	34.262900	108.993000	Xingqing Compound, Xian
487	34.657500	109.200000	Yanliang District, Xian
488	27.861111	112.955556	Ban tang, Xiangtan
489	27.857500	112.918333	Jiang lu, Xiangtan
490	27.911667	112.907500	HKUST, Xiangtan
491	27.915005	112.526502	Shaoshan, Xiangtan
492	27.857641	112.895689	City Monitoring Station, Xiangtan
493	27.816944	112.920000	Yue tang, Xiangtan
494	27.961788	113.021728	Zhaoshan, Xiangtan
495	34.395833	108.720000	Weather Monitoring Station, Xianyang
496	35.833333	108.725833	Normal university, Xianyang
497	34.318056	108.676389	Zhonghua xiaoqu, Xianyang
498	34.318737	108.740808	TCM Medical College, Xianyang
499	36.617144	101.778228	No.5 Water Plant, Xining
500	36.617144	101.778228	Provincial Pharmaceutical Warehouse, Xining
501	36.590489	101.753782	City Environmental Monitoring Station, Xining
502	36.578752	101.847291	Silu hospital, Xining
503	38.491488	112.703247	Convention Center, Xinzhou
504	38.412710	112.735863	Jiyin, Xinzhou
505	36.576667	109.482222	City Monitoring Station, Yanan
506	36.600000	109.478889	University Hospital, Yanan
507	36.627500	109.413056	Zao yuan, Yanan
508	37.847500	113.622222	Bai yang shu, Yangquan
509	37.850000	113.515833	Da yangquan, Yangquan
510	37.879444	113.580000	Nanzhuang, Yangquan
511	37.847500	113.572222	Pingtan, Yangquan
512	37.879444	113.492222	Sai yu, Yangquan
513	37.847500	113.572222	City center, Yangquan
514	28.715800	104.576100	Huangjinzui, Yibin
515	28.819400	104.596900	Shima Middle School, Yibin
516	28.766100	104.622500	Municipal party committee, Yibin
517	28.763900	104.641700	City government, Yibin
518	28.786700	104.606100	No. 4 middle school, Yibin
519	30.698000	111.299222	Bai longgang, Yichang
520	30.695972	111.268000	Dianjun district, Yichang
521	30.698056	111.300833	Silingsan Factory, Yichang
522	30.646389	111.355000	Wujiagang, Yichang
523	30.781861	111.329583	Yiling district, Yichang
524	38.497500	106.233000	Helanshan East Road, Yinchuan
525	38.601600	105.951000	Helanshan Maliankou, Yinchuan
526	38.453600	106.217000	Ning'an street, Yinchuan
527	38.485800	106.072000	Ninghua living area, Yinchuan
528	38.503600	106.136000	College Road, Yinchuan
529	38.474400	106.268200	Yinhu Lane, Yinchuan
